audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Confidence accuracy,Passionate accuracy,Pleasant accuracy,Dominant accuracy,Credible accuracy,Vivid accuracy,Expertise accuracy,Entertaining accuracy,Reserved accuracy,Trusting accuracy,Relaxed accuracy,Outgoing accuracy,Thorough accuracy,Nervous accuracy,Persuasive accuracy,Humorous accuracy,Confidence MAE,Passionate MAE,Pleasant MAE,Dominant MAE,Credible MAE,Vivid MAE,Expertise MAE,Entertaining MAE,Reserved MAE,Trusting MAE,Relaxed MAE,Outgoing MAE,Thorough MAE,Nervous MAE,Persuasive MAE,Humorous MAE,Confidence corr,Passionate corr,Pleasant corr,Dominant corr,Credible corr,Vivid corr,Expertise corr,Entertaining corr,Reserved corr,Trusting corr,Relaxed corr,Outgoing corr,Thorough corr,Nervous corr,Persuasive corr,Humorous corr
8,8,64,0.15,0.3,0.5,0.0003,0.003,1,32,0.001,0.8561674499511719,0.261,0.276,0.266,0.35,0.251,0.286,0.286,0.31,0.325,0.419,0.414,0.394,0.374,0.424,0.241,0.36,0.996,1.078,0.917,0.862,1.073,1.013,1.02,0.938,0.926,0.59,0.607,0.709,0.744,0.74,1.091,0.747,0.313,0.294,0.104,0.27,0.144,0.191,0.188,0.302,-0.053,0.02,0.166,0.244,0.18,-0.116,0.198,0.195
4,8,256,0.2,0,0.5,0.0003,0.003,1,128,0,0.8800253295898437,0.286,0.182,0.325,0.325,0.246,0.286,0.276,0.3,0.345,0.419,0.488,0.389,0.379,0.36,0.261,0.409,1.041,1.116,0.905,0.881,1.049,1.063,1.05,0.971,0.92,0.611,0.606,0.704,0.761,0.755,1.062,0.739,0.283,0.276,0.171,0.224,0.135,0.117,0.083,0.207,0.002,-0.001,0.102,0.177,-0.039,-0.236,0.218,0.279
16,4,256,0.2,0.1,0,0.003,0.0003,16,16,0,0.8360045623779296,0.271,0.266,0.266,0.335,0.281,0.374,0.34,0.3,0.33,0.443,0.389,0.379,0.458,0.424,0.246,0.365,0.969,1.034,0.989,0.867,1.056,0.959,0.958,0.929,0.874,0.603,0.628,0.72,0.724,0.684,1.091,0.745,0.383,0.393,-0.008,0.354,0.3,0.35,0.398,0.36,0.231,0.016,0.148,0.254,0.334,0.268,0.299,0.324
4,4,256,0,0.1,0.3,0.0003,0.0003,4,128,0.01,0.86598876953125,0.266,0.236,0.345,0.335,0.246,0.31,0.271,0.296,0.3,0.438,0.453,0.399,0.429,0.414,0.271,0.355,1.013,1.137,0.88,0.894,1.058,1.017,1.031,0.98,0.91,0.597,0.614,0.703,0.73,0.719,1.076,0.757,0.207,0.183,0.117,0.123,-0.014,0.145,0.137,0.077,-0.094,-0.035,-0.047,0.135,0.042,-0.017,0.183,-0.131
16,16,128,0.15,0.1,0.1,0.0005,0.001,16,16,0.01,0.8609806823730469,0.281,0.232,0.286,0.34,0.281,0.34,0.271,0.345,0.315,0.433,0.374,0.429,0.32,0.419,0.276,0.414,0.991,1.071,0.903,0.885,1.041,0.999,1.031,0.92,0.849,0.566,0.618,0.665,0.754,0.678,1.088,0.741,0.336,0.326,0.106,0.295,0.217,0.221,0.225,0.348,0.312,0.063,0.107,0.336,0.2,0.288,0.236,0.341
8,4,128,0.5,0,0.5,0.0005,0.0003,8,128,0.002,0.8591857147216797,0.241,0.202,0.335,0.33,0.241,0.281,0.261,0.296,0.296,0.458,0.507,0.379,0.335,0.429,0.266,0.355,1.038,1.126,0.879,0.889,1.056,1.038,1.053,0.983,0.915,0.543,0.586,0.708,0.739,0.712,1.1,0.753,0.19,0.203,0.095,0.143,0.133,0.118,0.058,0.159,-0.08,0.075,-0.007,0.175,0.085,0.001,0.144,0.087
8,4,256,0.15,0.3,0.3,0.0005,0.0005,16,64,0.001,0.8466001129150391,0.227,0.256,0.325,0.33,0.256,0.315,0.276,0.3,0.305,0.438,0.502,0.404,0.325,0.419,0.271,0.379,1.011,1.089,0.888,0.893,1.061,1.021,1.042,0.948,0.891,0.568,0.583,0.699,0.744,0.719,1.107,0.735,0.275,0.296,0.028,0.205,0.135,0.171,0.14,0.279,0.229,-0.074,0.116,0.187,0.09,-0.098,0.178,0.285
4,4,256,0.3,0.3,0.3,0.0003,0.003,16,8,0,0.8415245056152344,0.261,0.281,0.325,0.369,0.266,0.315,0.261,0.31,0.31,0.532,0.517,0.409,0.355,0.424,0.212,0.389,0.998,1.089,0.886,0.868,1.056,1.016,1.032,0.95,0.871,0.53,0.573,0.694,0.727,0.684,1.109,0.741,0.309,0.304,0.15,0.264,0.182,0.204,0.184,0.32,0.274,0.013,0.194,0.228,0.185,0.283,0.221,0.285
16,8,64,0.1,0.2,0.3,0.0005,0.0003,1,64,0.002,0.8723993682861328,0.222,0.266,0.315,0.36,0.266,0.325,0.296,0.296,0.33,0.478,0.512,0.36,0.389,0.389,0.281,0.325,1.027,1.079,0.876,0.894,1.044,0.985,1.017,0.959,0.93,0.581,0.601,0.736,0.719,0.745,1.105,0.747,0.262,0.28,0.159,0.203,0.226,0.267,0.238,0.281,0.04,0.029,0.148,0.155,0.23,-0.117,0.172,0.284
4,4,128,0.5,0,0.1,0.0005,0.0005,8,128,0.01,0.8467416381835937,0.241,0.241,0.34,0.34,0.251,0.305,0.271,0.3,0.31,0.498,0.483,0.409,0.394,0.419,0.271,0.355,1.036,1.116,0.893,0.883,1.054,1.038,1.045,0.991,0.886,0.544,0.596,0.704,0.742,0.713,1.092,0.747,0.214,0.21,0.107,0.198,0.073,0.074,0.082,0.121,0.184,-0.049,0.081,0.142,0.029,-0.107,0.123,0.156
