audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Confidence accuracy,Passionate accuracy,Pleasant accuracy,Dominant accuracy,Credible accuracy,Vivid accuracy,Expertise accuracy,Entertaining accuracy,Reserved accuracy,Trusting accuracy,Relaxed accuracy,Outgoing accuracy,Thorough accuracy,Nervous accuracy,Persuasive accuracy,Humorous accuracy,Confidence MAE,Passionate MAE,Pleasant MAE,Dominant MAE,Credible MAE,Vivid MAE,Expertise MAE,Entertaining MAE,Reserved MAE,Trusting MAE,Relaxed MAE,Outgoing MAE,Thorough MAE,Nervous MAE,Persuasive MAE,Humorous MAE,Confidence corr,Passionate corr,Pleasant corr,Dominant corr,Credible corr,Vivid corr,Expertise corr,Entertaining corr,Reserved corr,Trusting corr,Relaxed corr,Outgoing corr,Thorough corr,Nervous corr,Persuasive corr,Humorous corr
16,8,128,0,0,0.2,0.001,0.0005,16,64,0.01,0.84379150390625,0.236,0.291,0.345,0.34,0.281,0.261,0.276,0.305,0.32,0.483,0.473,0.384,0.384,0.384,0.217,0.369,1.018,1.092,0.872,0.891,1.062,1.048,1.044,0.964,0.9,0.544,0.582,0.728,0.74,0.71,1.133,0.763,0.266,0.245,0.18,0.23,0.155,0.172,0.172,0.274,0.158,0.074,0.172,0.171,0.17,0.112,0.165,0.261
8,8,256,0.1,0.3,0.3,0.001,0.001,16,8,0.001,0.8754974365234375,0.246,0.266,0.335,0.35,0.281,0.31,0.266,0.296,0.31,0.532,0.488,0.389,0.414,0.325,0.266,0.35,1.035,1.09,0.886,0.899,1.065,1.046,1.101,0.968,0.907,0.534,0.598,0.708,0.755,0.73,1.108,0.753,0.193,0.258,0.115,0.194,0.111,0.132,0.064,0.207,0.118,0.101,0.075,0.171,0.114,0.137,0.17,0.231
16,8,64,0,0,0.3,0.0005,0.0005,4,128,0,0.9004819488525391,0.246,0.266,0.315,0.345,0.251,0.276,0.286,0.335,0.325,0.433,0.433,0.315,0.291,0.424,0.241,0.389,1.074,1.109,0.902,0.902,1.09,1.055,1.051,0.974,0.911,0.612,0.638,0.77,0.822,0.708,1.16,0.743,0.22,0.224,0.121,0.184,0.14,0.149,0.127,0.246,0.091,-0.058,0.155,0.156,0.027,0.038,0.1,0.255
8,16,64,0.1,0,0.15,0.003,0.003,16,8,0.001,0.8692725372314453,0.266,0.251,0.32,0.369,0.222,0.34,0.271,0.3,0.33,0.557,0.463,0.443,0.389,0.433,0.236,0.478,0.998,1.117,0.905,0.877,1.079,1.041,1.046,0.981,0.866,0.546,0.613,0.679,0.768,0.691,1.118,0.773,0.319,0.295,0.073,0.286,0.171,0.178,0.174,0.307,0.276,0.052,0.101,0.28,0.143,0.244,0.192,0.253
4,16,128,0.15,0.5,0,0.001,0.0003,4,64,0.001,0.862272720336914,0.241,0.31,0.335,0.335,0.251,0.3,0.261,0.305,0.296,0.522,0.498,0.36,0.36,0.419,0.271,0.365,1.016,1.085,0.872,0.886,1.088,1.025,1.041,0.949,0.877,0.534,0.583,0.701,0.745,0.686,1.132,0.748,0.243,0.257,0.167,0.205,0.094,0.14,0.123,0.286,0.219,0.039,0.114,0.14,0.068,0.197,0.132,0.316
8,16,256,0.15,0.3,0,0.001,0.0003,16,128,0.001,0.8553804016113281,0.236,0.222,0.34,0.33,0.251,0.296,0.281,0.296,0.315,0.512,0.483,0.389,0.345,0.419,0.271,0.36,1.037,1.123,0.901,0.901,1.064,1.032,1.063,0.996,0.901,0.548,0.608,0.72,0.748,0.694,1.113,0.751,0.173,0.18,0.051,0.16,0.066,0.138,0.033,0.127,0.063,-0.012,0.005,0.113,0.048,0.192,0.111,0.129
16,16,256,0,0.5,0.15,0.0003,0.0003,1,64,0,0.864281997680664,0.241,0.236,0.31,0.325,0.246,0.31,0.256,0.315,0.305,0.448,0.463,0.355,0.345,0.429,0.246,0.374,1.001,1.122,0.889,0.903,1.06,1.04,1.05,0.963,0.886,0.574,0.587,0.734,0.748,0.711,1.107,0.768,0.273,0.187,0.113,0.122,0.166,0.14,0.19,0.212,0.207,0.062,0.166,0.14,0.154,0.094,0.18,0.131
4,8,64,0,0.15,0.2,0.001,0.0003,8,64,0.002,0.8215592193603516,0.222,0.286,0.315,0.345,0.256,0.345,0.276,0.296,0.291,0.424,0.468,0.345,0.458,0.365,0.271,0.35,0.977,1.043,0.904,0.859,0.993,0.964,0.973,0.934,0.951,0.623,0.597,0.723,0.699,0.755,1.061,0.755,0.369,0.378,0.08,0.3,0.28,0.329,0.336,0.32,-0.135,-0.065,0.138,0.173,0.286,-0.126,0.236,0.225
16,4,256,0.1,0.1,0,0.0005,0.001,4,64,0.002,0.8724098968505859,0.241,0.286,0.33,0.34,0.261,0.291,0.315,0.325,0.315,0.502,0.468,0.374,0.36,0.453,0.232,0.369,1.016,1.076,0.894,0.909,1.094,1.04,1.064,0.946,0.867,0.555,0.595,0.711,0.761,0.68,1.134,0.744,0.283,0.29,0.121,0.187,0.111,0.172,0.116,0.294,0.294,0.011,0.147,0.205,0.122,0.21,0.161,0.267
8,8,128,0.15,0.3,0,0.0003,0.0005,1,16,0,0.8522705078125,0.286,0.31,0.3,0.355,0.246,0.335,0.32,0.365,0.31,0.463,0.424,0.384,0.419,0.404,0.266,0.379,0.93,1.011,0.921,0.859,1.008,0.962,0.985,0.927,0.949,0.617,0.644,0.701,0.716,0.742,1.066,0.756,0.414,0.407,0.131,0.335,0.312,0.341,0.337,0.36,0.067,0.028,0.162,0.287,0.333,0.011,0.272,0.287
16,8,256,0.3,0.5,0.5,0.001,0.001,8,32,0.01,0.8476185607910156,0.232,0.276,0.335,0.325,0.261,0.305,0.256,0.305,0.32,0.502,0.527,0.35,0.34,0.443,0.251,0.35,1.018,1.098,0.889,0.899,1.074,1.022,1.042,0.967,0.869,0.532,0.581,0.721,0.749,0.684,1.133,0.743,0.257,0.273,0.089,0.191,0.157,0.2,0.207,0.279,0.25,0.106,0.163,0.161,0.156,0.227,0.174,0.272
8,8,128,0.3,0.2,0.1,0.001,0.0003,4,16,0.001,0.8303733825683594,0.232,0.3,0.276,0.35,0.286,0.325,0.261,0.3,0.305,0.458,0.429,0.374,0.394,0.394,0.266,0.379,0.985,1.024,0.949,0.868,1.011,0.974,0.998,0.933,0.911,0.605,0.622,0.725,0.713,0.723,1.073,0.753,0.358,0.383,0.029,0.303,0.256,0.289,0.301,0.335,0.074,-0.01,0.08,0.198,0.282,0.085,0.243,0.275
8,16,64,0.1,0.3,0,0.003,0.003,8,8,0,0.8488928985595703,0.241,0.305,0.31,0.335,0.251,0.34,0.286,0.33,0.31,0.522,0.483,0.433,0.365,0.409,0.296,0.409,1.008,1.085,0.918,0.878,1.052,0.999,1.031,0.97,0.88,0.564,0.603,0.71,0.758,0.707,1.114,0.788,0.309,0.286,0.002,0.302,0.184,0.221,0.221,0.307,0.28,0.042,0.078,0.165,0.156,0.237,0.181,0.188
16,16,64,0.2,0.15,0,0.001,0.003,8,64,0.002,0.855074462890625,0.291,0.271,0.305,0.355,0.261,0.325,0.291,0.369,0.33,0.512,0.453,0.409,0.419,0.414,0.241,0.389,0.983,1.055,0.904,0.888,1.036,0.97,1.004,0.901,0.862,0.555,0.612,0.669,0.733,0.687,1.078,0.743,0.366,0.362,0.171,0.286,0.269,0.308,0.301,0.359,0.288,0.071,0.082,0.355,0.257,0.245,0.279,0.287
16,8,64,0.5,0.5,0.5,0.0003,0.003,4,32,0.01,0.8415178680419921,0.256,0.251,0.286,0.355,0.241,0.305,0.251,0.291,0.31,0.414,0.483,0.424,0.33,0.424,0.246,0.36,0.99,1.072,0.905,0.873,1.04,1.008,1.022,0.942,0.875,0.576,0.582,0.689,0.744,0.708,1.105,0.741,0.32,0.318,0.094,0.253,0.216,0.21,0.21,0.318,0.21,-0.031,0.16,0.27,0.194,0.148,0.22,0.293
16,16,256,0.15,0.2,0.5,0.003,0.001,8,128,0.001,0.8563547515869141,0.271,0.256,0.32,0.325,0.256,0.3,0.256,0.286,0.32,0.448,0.493,0.369,0.369,0.409,0.251,0.355,1.033,1.106,0.91,0.898,1.084,1.033,1.069,0.979,0.87,0.558,0.598,0.715,0.742,0.713,1.122,0.761,0.216,0.226,-0.007,0.2,0.092,0.163,0.055,0.24,0.253,0.033,0.082,0.131,0.096,0.069,0.114,0.199
16,8,64,0.3,0,0.3,0.0003,0.0003,4,8,0.002,0.8384688568115234,0.236,0.286,0.271,0.369,0.256,0.34,0.296,0.296,0.305,0.389,0.438,0.379,0.419,0.448,0.246,0.335,0.977,1.008,0.914,0.875,1.019,0.979,0.979,0.938,0.919,0.643,0.633,0.749,0.737,0.728,1.095,0.755,0.395,0.391,0.129,0.304,0.307,0.3,0.335,0.341,0.061,-0.005,0.104,0.2,0.262,0.048,0.246,0.287
4,4,256,0.5,0.3,0.15,0.001,0.003,16,128,0.01,0.8445465087890625,0.217,0.281,0.246,0.33,0.266,0.286,0.266,0.3,0.31,0.443,0.507,0.389,0.379,0.379,0.236,0.355,1.025,1.092,0.9,0.895,1.053,1.033,1.036,0.963,0.905,0.552,0.577,0.709,0.735,0.713,1.082,0.75,0.216,0.26,0.125,0.127,0.109,0.109,0.12,0.254,0.14,-0.006,0.152,0.136,0.083,0.089,0.158,0.168
8,4,128,0.5,0.1,0.15,0.003,0.003,16,64,0.001,0.8430683135986328,0.246,0.227,0.32,0.325,0.251,0.32,0.256,0.296,0.31,0.532,0.498,0.389,0.424,0.419,0.271,0.365,1.004,1.093,0.893,0.874,1.031,1.006,1.017,0.95,0.898,0.544,0.584,0.697,0.725,0.708,1.055,0.749,0.291,0.297,0.055,0.224,0.215,0.23,0.248,0.303,0.111,-0.014,0.192,0.187,0.217,0.06,0.244,0.241
8,16,128,0.5,0.3,0.15,0.0003,0.003,1,128,0.01,0.8716847229003907,0.222,0.286,0.34,0.34,0.232,0.32,0.276,0.325,0.31,0.365,0.463,0.36,0.409,0.33,0.261,0.369,1.031,1.087,0.882,0.869,1.054,0.986,1.009,0.962,0.903,0.644,0.596,0.72,0.776,0.761,1.086,0.749,0.257,0.28,0.08,0.273,0.138,0.258,0.229,0.258,0.099,-0.066,0.129,0.126,0.087,-0.178,0.182,0.071
8,8,128,0.2,0,0,0.001,0.003,8,8,0.01,0.8552790069580078,0.271,0.232,0.32,0.33,0.261,0.33,0.281,0.31,0.296,0.522,0.522,0.399,0.389,0.419,0.232,0.345,1.074,1.101,0.901,0.919,1.074,1.023,1.082,0.974,0.907,0.532,0.579,0.695,0.754,0.684,1.154,0.749,0.277,0.28,0.048,0.273,0.131,0.155,0.155,0.244,0.285,0.064,0.137,0.222,0.126,0.235,0.16,0.29
8,8,64,0.2,0,0.15,0.003,0.003,4,32,0.001,0.8523893737792969,0.256,0.222,0.286,0.369,0.266,0.34,0.276,0.32,0.32,0.488,0.478,0.419,0.33,0.433,0.232,0.399,0.999,1.074,0.878,0.883,1.04,1.007,1.028,0.924,0.85,0.548,0.592,0.692,0.752,0.671,1.106,0.757,0.333,0.353,0.24,0.258,0.231,0.232,0.219,0.356,0.324,0.061,0.119,0.283,0.203,0.317,0.251,0.314
16,16,256,0.1,0.1,0.15,0.0003,0.001,16,16,0.001,0.8733046722412109,0.246,0.256,0.305,0.33,0.261,0.34,0.3,0.355,0.305,0.532,0.483,0.424,0.389,0.414,0.187,0.384,1.04,1.075,0.881,0.897,1.085,1.036,1.053,0.949,0.901,0.537,0.603,0.688,0.776,0.692,1.143,0.748,0.26,0.311,0.198,0.26,0.156,0.192,0.172,0.27,0.314,0.071,0.072,0.254,0.165,0.231,0.201,0.251
4,16,256,0.15,0.5,0.2,0.0005,0.0005,4,8,0.001,0.8692910766601563,0.251,0.266,0.345,0.325,0.246,0.32,0.286,0.281,0.325,0.374,0.502,0.399,0.394,0.443,0.227,0.36,1.028,1.101,0.89,0.908,1.058,1.03,1.05,0.977,0.882,0.565,0.592,0.713,0.741,0.688,1.126,0.76,0.229,0.253,0.09,0.178,0.142,0.143,0.155,0.223,0.205,-0.052,0.133,0.15,0.116,0.215,0.149,0.207
4,16,64,0.3,0,0.15,0.001,0.003,1,64,0.01,0.8611605834960937,0.232,0.271,0.291,0.365,0.251,0.33,0.286,0.315,0.315,0.36,0.443,0.394,0.374,0.414,0.266,0.374,1.0,1.077,0.917,0.873,1.058,1.02,1.032,0.964,0.899,0.621,0.637,0.732,0.758,0.725,1.089,0.752,0.302,0.315,0.135,0.232,0.138,0.168,0.131,0.249,0.06,-0.061,0.098,0.242,0.109,-0.095,0.179,0.142
16,4,128,0.1,0.15,0,0.0005,0.0005,8,4,0.001,0.8614717864990235,0.261,0.241,0.291,0.34,0.246,0.325,0.261,0.305,0.315,0.502,0.488,0.404,0.365,0.424,0.232,0.369,0.985,1.091,0.904,0.88,1.06,1.028,1.07,0.961,0.857,0.54,0.59,0.705,0.747,0.683,1.113,0.741,0.299,0.298,0.088,0.237,0.146,0.138,0.138,0.281,0.266,0.102,0.129,0.238,0.15,0.27,0.172,0.274
16,4,256,0,0.2,0.2,0.003,0.0005,4,128,0.01,0.8857566833496093,0.241,0.271,0.325,0.335,0.246,0.276,0.256,0.315,0.3,0.532,0.493,0.35,0.345,0.365,0.241,0.34,1.009,1.08,0.873,0.91,1.093,1.036,1.056,0.936,0.899,0.548,0.59,0.699,0.751,0.715,1.145,0.743,0.264,0.286,0.161,0.139,0.129,0.199,0.15,0.309,0.157,0.025,0.106,0.207,0.076,0.053,0.144,0.274
16,16,256,0.5,0.3,0.2,0.0005,0.003,8,4,0.01,0.8813645172119141,0.266,0.266,0.345,0.36,0.271,0.305,0.261,0.3,0.305,0.433,0.517,0.399,0.33,0.419,0.212,0.355,1.047,1.104,0.884,0.873,1.072,1.078,1.053,0.967,0.883,0.562,0.582,0.697,0.743,0.699,1.157,0.771,0.212,0.252,0.141,0.263,0.123,0.115,0.087,0.227,0.208,-0.022,0.148,0.186,0.089,0.157,0.139,0.197
4,16,64,0.5,0.1,0.3,0.0005,0.001,4,4,0.002,0.9413295745849609,0.256,0.32,0.286,0.355,0.232,0.305,0.271,0.32,0.315,0.468,0.433,0.389,0.35,0.409,0.207,0.424,1.046,1.106,0.913,0.871,1.067,1.032,1.045,0.97,0.898,0.568,0.61,0.708,0.757,0.708,1.14,0.765,0.261,0.263,0.103,0.285,0.233,0.222,0.215,0.291,0.138,-0.035,0.12,0.253,0.198,0.146,0.219,0.204
8,4,64,0.2,0.2,0.1,0.003,0.003,16,16,0,0.8579090118408204,0.246,0.266,0.34,0.33,0.271,0.3,0.266,0.3,0.305,0.33,0.502,0.394,0.36,0.414,0.261,0.379,1.014,1.089,0.886,0.901,1.065,1.024,1.055,0.975,0.888,0.579,0.595,0.707,0.74,0.7,1.114,0.758,0.264,0.261,0.115,0.248,0.137,0.178,0.141,0.231,0.18,-0.02,0.098,0.164,0.137,0.116,0.166,0.212
4,8,128,0.15,0.15,0.15,0.0003,0.0003,16,32,0,0.8400200653076172,0.232,0.266,0.276,0.369,0.256,0.31,0.261,0.325,0.315,0.394,0.429,0.369,0.379,0.404,0.236,0.389,1.018,1.08,0.911,0.852,1.022,0.983,1.003,0.96,0.903,0.57,0.617,0.706,0.714,0.732,1.061,0.77,0.291,0.318,0.106,0.275,0.273,0.286,0.276,0.248,0.031,-0.029,0.145,0.235,0.285,-0.076,0.271,0.137
16,4,64,0.5,0.1,0.15,0.001,0.001,4,32,0.002,0.8464414978027344,0.227,0.222,0.315,0.355,0.261,0.3,0.222,0.296,0.291,0.542,0.507,0.369,0.384,0.384,0.256,0.394,1.028,1.113,0.894,0.882,1.066,1.029,1.039,0.963,0.912,0.537,0.569,0.711,0.734,0.726,1.101,0.754,0.234,0.237,0.1,0.242,0.172,0.148,0.18,0.278,0.2,0.177,0.223,0.192,0.163,0.159,0.197,0.274
16,8,64,0.1,0,0.2,0.003,0.003,1,32,0,0.8744293212890625,0.261,0.305,0.31,0.34,0.281,0.305,0.286,0.34,0.34,0.483,0.488,0.399,0.345,0.429,0.241,0.409,1.0,1.068,0.867,0.874,1.042,1.016,1.032,0.908,0.859,0.55,0.581,0.68,0.753,0.695,1.108,0.746,0.35,0.366,0.241,0.282,0.22,0.224,0.214,0.368,0.253,0.057,0.154,0.336,0.169,0.219,0.201,0.301
16,4,64,0,0.15,0.5,0.003,0.003,8,8,0,0.8714785003662109,0.222,0.281,0.315,0.384,0.232,0.325,0.281,0.31,0.31,0.443,0.468,0.379,0.404,0.424,0.241,0.409,1.094,1.092,0.891,0.889,1.074,1.022,1.046,0.963,0.858,0.549,0.596,0.694,0.742,0.694,1.131,0.768,0.294,0.277,0.117,0.256,0.172,0.165,0.186,0.277,0.288,0.02,0.104,0.28,0.156,0.254,0.181,0.207
4,8,128,0.2,0.2,0,0.003,0.0005,1,4,0.001,0.8524549865722656,0.251,0.227,0.325,0.345,0.236,0.325,0.286,0.276,0.325,0.527,0.502,0.419,0.345,0.389,0.276,0.389,1.017,1.088,0.907,0.909,1.049,1.015,1.018,0.96,0.907,0.539,0.603,0.704,0.732,0.704,1.088,0.747,0.236,0.278,-0.038,0.246,0.14,0.171,0.171,0.267,0.189,-0.035,-0.013,0.183,0.156,0.172,0.197,0.306
4,4,64,0.15,0.3,0.1,0.003,0.003,8,64,0.01,0.85916748046875,0.261,0.305,0.34,0.335,0.266,0.286,0.271,0.305,0.32,0.532,0.498,0.369,0.33,0.419,0.271,0.394,1.0,1.076,0.884,0.876,1.082,1.033,1.056,0.954,0.879,0.533,0.588,0.698,0.743,0.693,1.113,0.745,0.297,0.283,0.123,0.247,0.115,0.157,0.14,0.287,0.233,-0.049,0.093,0.175,0.107,0.195,0.146,0.307
